feature,importance
start_station,0.18746348186273187
trip_duration_calculated,0.15998651594855468
duration_distance_ratio,0.14130116044578164
avg_trip_duration_by_station,0.12385144066803243
distance,0.11226248051733716
start_hour,0.07131751412685167
day_of_week_Tuesday,0.022118958142144325
time_slot_Tarde,0.020943321640419975
day_of_week_Sunday,0.020463370544893004
day_of_week_Saturday,0.02035588212308237
time_slot_Mañana,0.019863286622645998
day_of_week_Wednesday,0.019395103016092145
day_of_week_Friday,0.019052698905012898
day_of_week_Thursday,0.01867633216588651
day_of_week_Monday,0.01796354325501303
time_slot_Noche,0.011404254004796157
is_weekend,0.010867750611795197
time_slot_Madrugada,0.0027129053989289388
